Country,Mig_1962,Mig_1967,Mig_1972,Mig_1977,Mig_1982,Mig_1987,Mig_1992,latitude,longitude
Aruba,-4323,-4275,-3537,-5470,-1921,-5194,14218,12.52111,-69.968338
Afghanistan,-20000,-20000,-20000,-1153959,-3345095,-1525351,3076383,33.93911,67.709953
Angola,-296717,-587286,199800,199800,234148,188491,142812,-11.202692,17.873887
Albania,-99,-99,-99,-99,-99,-99,-443212,41.153332,20.168331
United Arab Emirates,37882,53823,260488,372430,184159,256638,368126,23.424076,53.847818
Argentina,122000,130000,142000,-230000,140000,160000,-105000,-38.416097,-63.616672
Armenia,70335,103399,86404,17214,-51230,-67528,-496288,40.069099,45.038189
Antigua and Barbuda,-1880,-1202,-7018,-4428,-3763,-2890,2231,17.060816,-61.796428
Australia,384343,806193,259531,235744,453572,654209,351078,-25.274398,133.775136
Austria,15996,50401,82001,5502,18002,110999,227841,47.516231,14.550072
Azerbaijan,0,-40000,-50466,-50466,-101568,-161568,-115116,40.143105,47.576927
