ID,IncomeGroup,Region,Country Name,latitude,longitude,Country Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
1,High income,Latin America & Caribbean,Aruba,12.52111,-69.968338,ABW,,,,,,,14218,6926,6263,-441,1253,1004
2,Low income,South Asia,Afghanistan,33.93911,67.709953,AFG,-20000,-20000,-20000,-1153959,-3345095,-1525351,3076383,-867540,744193,-1046361,521769,-314602
3,Lower middle income,Sub-Saharan Africa,Angola,-11.202692,17.873887,AGO,-296717,-587286,199800,199800,234148,188491,142812,199800,261100,357301,166267,32066
4,Upper middle income,Europe & Central Asia,Albania,41.153332,20.168331,ALB,-99,-99,-99,-99,-99,-99,-443212,-179606,-176774,-217358,-136590,-69998
7,High income,Middle East & North Africa,United Arab Emirates,23.424076,53.847818,ARE,37882,53823,260488,372430,184159,256638,368126,498394,1189616,3592436,270000,200000
8,Upper middle income,Latin America & Caribbean,Argentina,-38.416097,-63.616672,ARG,122000,130000,142000,-230000,140000,160000,-105000,-128000,-125000,-120000,30000,24000
9,Upper middle income,Europe & Central Asia,Armenia,40.069099,45.038189,ARM,70335,103399,86404,17214,-51230,-67528,-496288,-223873,-160521,-183361,-30535,-24989
11,High income,Latin America & Caribbean,Antigua and Barbuda,17.060816,-61.796428,ATG,-1880,-1202,-7018,-4428,-3763,-2890,2231,2469,252,1887,943,0
12,High income,East Asia & Pacific,Australia,-25.274398,133.775136,AUS,384343,806193,259531,235744,453572,654209,351078,388419,589282,1210802,989375,791229
13,High income,Europe & Central Asia,Austria,47.516231,14.550072,AUT,15996,50401,82001,5502,18002,110999,227841,65082,178117,153763,267172,324998
14,Upper middle income,Europe & Central Asia,Azerbaijan,40.143105,47.576927,AZE,0,-40000,-50466,-50466,-101568,-161568,-115116,-111849,36523,53579,8499,6002
